"","auction","time","nick","price","sell_price","winner_bids","winner_bidsnumb","winner_bidprice","bids_numb","type","seller","winner","delivery","weekdays","month"
"260",3194982,2012-03-11 00:14:37,"crone ",450,2.5,28.5,3,9.5,"6","1",-393.5,419,119,"7","3"
"261",3195258,NA,"DotExx",450,2,10,1,10,"4","0",-412,438,138,NA,NA
"262",3197865,2012-03-14 00:10:49,"Den26 ",450,3,9,1,9,"8","0",-375,438,138,"3","3"
"263",3214466,2012-03-15 00:18:23,"gromke ",450,1.25,9,1,9,"1","0",-439.75,439.75,139.75,"4","3"
"264",3216565,2012-03-16 00:15:28,"z-x",450,1.25,9,1,9,"1","0",-439.75,439.75,139.75,"5","3"
"265",3214784,2012-03-17 00:02:02,"crone ",450,9.75,10,1,10,"35","1",-125.25,430.25,130.25,"6","3"
"266",3218128,2012-03-17 00:15:00,"kudrinn ",450,17,9.5,1,9.5,"64","1",143,423.5,123.5,"6","3"
"267",3224222,2012-03-20 00:12:51,"restler",3100,45.5,130,13,10,"178","1",-1452.5,2924.5,2624.5,"2","3"
"268",3232294,2012-03-23 00:21:48,"Metelkin",3100,27,144,16,9,"104","1",-2137,2929,2629,"5","3"
"269",3244233,2012-04-03 00:16:40,"Rish",3100,125.25,721.5,111,6.5,"497","0",1498.25,2253.25,1953.25,"2","4"
"270",3154817,2012-02-23 00:01:13,"BETEP-BETEPOK",3100,86,286.38,43,6.66,"85","1",-2249,2727.62,2427.62,"4","2"
"271",3169215,2012-03-01 00:14:03,"Felizia ",3100,19,225,25,9,"72","1",-2433,2856,2556,"4","3"
"272",3173394,2012-03-02 00:14:38,"nfyz09 ",3100,47.25,648,72,9,"185","1",-1387.75,2404.75,2104.75,"5","3"
"273",3183985,2012-03-07 00:00:56,"kochanoba ",3100,141.5,1368.5,142,9.637323944,"562","1",2099.5,1590,1290,"3","3"
"274",3185722,2012-03-10 00:18:06,"sirstoun ",3100,71.75,1090.5,119,9.163865546,"283","1",-481.25,1937.75,1637.75,"6","3"
"275",3194524,2012-03-12 00:13:50,"Kruzer ",3100,71,308.21,37,8.33,"280","1",-509,2720.79,2420.79,"1","3"
"276",3214794,2012-03-16 00:02:30,"Kruzer",3100,216.75,199.92,24,8.33,"863","1",4883.75,2683.33,2383.33,"5","3"
"277",3353313,2012-05-13 00:11:18,"Mr_Johnson",3500,161,915,183,5,"640","1",2421,2424,2124,"7","5"
"278",3294752,2012-04-26 00:16:52,"Snap ",3500,703.25,9039.66,1335,6.771280899,"2809","1",22484.25,-6242.91,-6542.91,"4","4"
